compoundName_HMDB	HMDB	KEGG	compoundName_LipidMaps	LipidMaps
			CL(1'-[18:0/18:1(9Z)],3'-[18:1(9Z)/18:0])	LMGP12010308
			CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:1(9Z)])	LMGP12010351
			CL(1'-[18:0/20:0],3'-[18:0/18:1(9Z)])	LMGP12010375
			CL(1'-[18:0/20:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])	LMGP12010397
			CL(1'-[18:1(9Z)/20:0],3'-[18:0/18:0])	LMGP12010590
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[18:1(9Z)/18:1(9Z)])	LMGP12010813
			CL(1'-[20:0/18:0],3'-[16:0/18:2(9Z,12Z)])	LMGP12010910
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[18:2(9Z,12Z)/18:0])	LMGP12011178
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[20:0/18:2(9Z,12Z)])	LMGP12011258
			PIM2(18:1(9Z)/16:1(9Z))	LMGP15010070
			1-(2-methoxy-6Z-hexadecenyl)-sn-glycero-3-phosphoethanolamine	LMGP02060017
			PA(17:0/20:4(5Z,8Z,11Z,14Z))	LMGP10010003
			PC(17:0/14:1(9Z))	LMGP01010008
			PC(16:1(9E)/0:0)	LMGP01050021
			PC(P-17:0/0:0)	LMGP01070007
			PE(16:0/19:0)	LMGP02010173
			PE(22:0/18:1(13Z))	LMGP02010153
			PE(18:1(11E)/22:0)	LMGP02010158
			PA(6:0/6:0)	LMGP10010020
			PA(12:0/12:0)	LMGP10010030
				LMGP00000051
				LMGP04040003
			PG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)	LMGP04050016
			PC(12:0/22:2(13Z,16Z))	LMGP01011336
			PC(19:0/14:1(9Z))	LMGP01011731
			PC(17:1(9Z)/19:0)	LMGP01011537
			PC(17:1(9Z)/20:4(5Z,8Z,11Z,14Z))	LMGP01011543
			PC(18:1(9Z)/13:0)	LMGP01011596
			PC(22:1(11Z)/20:4(5Z,8Z,11Z,14Z))	LMGP01012027
			PC(22:1(11Z)/21:0)	LMGP01012029
			PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:2(9Z,12Z))	LMGP01012106
			PC(O-20:0/14:1(9Z))	LMGP01020219
			PE(12:0/22:2(13Z,16Z))	LMGP02010379
			PE(13:0/20:4(5Z,8Z,11Z,14Z))	LMGP02010399
			PE(14:0/19:0)	LMGP02010413
			PE(15:1(9Z)/18:1(9Z))	LMGP02010486
			PE(17:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP02010590
			PE(17:2(9Z,12Z)/19:0)	LMGP02010607
			PE(17:2(9Z,12Z)/20:3(8Z,11Z,14Z))	LMGP02010612
			PE(18:1(9Z)/13:0)	LMGP02010636
			PE(18:3(6Z,9Z,12Z)/17:2(9Z,12Z))	LMGP02010689
			PC(P-20:0/22:4(7Z,10Z,13Z,16Z))	LMGP01030103
			PE(19:0/20:3(8Z,11Z,14Z))	LMGP02010784
			PE(19:1(9Z)/15:1(9Z))	LMGP02010798
			PE(19:1(9Z)/20:1(11Z))	LMGP02010813
			PE(20:1(11Z)/17:1(9Z))	LMGP02010850
			PE(18:3(9Z,12Z,15Z)/17:0)	LMGP02010717
			PE(17:1(9Z)/17:1(9Z))	LMGP02011209
			PE(O-18:0/22:4(7Z,10Z,13Z,16Z))	LMGP02020060
			PE(O-20:0/16:1(9Z))	LMGP02020067
			PE(P-20:0/18:0)	LMGP02030073
			PA(13:0/17:1(9Z))	LMGP10010072
			PA(19:1(9Z)/0:0)	LMGP10050025
			PA(14:0/17:0)	LMGP10010094
			PA(20:4(5Z,8Z,11Z,14Z)/22:1(11Z))	LMGP10010643
			PA(22:1(11Z)/22:0)	LMGP10010750
			PS(17:1(9Z)/16:0)	LMGP03010254
			PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/22:1(11Z))	LMGP10010842
			PA(17:1(9Z)/14:1(9Z))	LMGP10010249
			PA(16:0/12:0)	LMGP10010977
			PA(O-16:0/14:1(9Z))	LMGP10020005
			PA(O-16:0/15:0)	LMGP10020006
			PA(O-18:0/12:0)	LMGP10020019
			PA(O-18:0/16:0)	LMGP10020075
			PA(P-18:0/18:3(9Z,12Z,15Z))	LMGP10030042
			PA(P-18:0/22:0)	LMGP10030052
			PA(P-20:0/16:1(9Z))	LMGP10030063
			PA(O-18:0/0:0)	LMGP10060004
			PA(15:0/17:0)	LMGP10010917
			PI(18:4(6Z,9Z,12Z,15Z)/14:0)	LMGP06010395
			PG(19:1(9Z)/18:2(9Z,12Z))	LMGP04010493
			PI(22:0/20:3(8Z,11Z,14Z))	LMGP06010687
			PI(22:1(11Z)/13:0)	LMGP06010695
			PI(21:0/18:0)	LMGP06010821
			PG(16:0/22:1(11Z))	LMGP04010199
			PG(17:0/22:2(13Z,16Z))	LMGP04010246
			PG(17:1(9Z)/18:1(9Z))	LMGP04010259
			PG(17:2(9Z,12Z)/19:0)	LMGP04010294
			PG(18:0/17:1(9Z))	LMGP04010313
			PG(18:1(9Z)/19:0)	LMGP04010332
			PG(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))	LMGP04010453
			PG(17:0/18:3(9Z,12Z,15Z))	LMGP04010235
			PG(13:0/21:0)	LMGP04010933
			PS(17:2(9Z,12Z)/14:0)	LMGP03010280
			PS(17:2(9Z,12Z)/19:0)	LMGP03010294
			PS(18:3(9Z,12Z,15Z)/17:1(9Z))	LMGP03010405
			PS(19:1(9Z)/14:0)	LMGP03010482
			PS(19:1(9Z)/20:1(11Z))	LMGP03010500
			PS(19:1(9Z)/20:2(11Z,14Z))	LMGP03010501
			PS(17:2(9Z,12Z)/0:0)	LMGP03050016
			PS(15:1(9Z)/20:4(5Z,8Z,11Z,14Z))	LMGP03010184
			PS(21:0/20:4(5Z,8Z,11Z,14Z))	LMGP03010696
			PS(22:1(11Z)/12:0)	LMGP03010725
			PS(22:1(11Z)/18:3(6Z,9Z,12Z))	LMGP03010739
			PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/13:0)	LMGP03010818
			PS(12:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP03010937
			PS(15:0/17:0)	LMGP03010915
			PS(O-20:0/16:0)	LMGP03020070
			PS(O-16:0/18:3(6Z,9Z,12Z))	LMGP03020078
			PS(P-16:0/17:1(9Z))	LMGP03030010
			PS(P-16:0/22:2(13Z,16Z))	LMGP03030026
			PS(P-18:0/17:1(9Z))	LMGP03030037
			PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/21:0)	LMGP03010841
			CL(1'-[16:0/16:0],3'-[18:2(9Z,12Z)/18:0])	LMGP12010026
			CL(1'-[16:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:0])	LMGP12010038
			CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/18:0])	LMGP12010194
			CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/16:0])	LMGP12010211
			CL(1'-[18:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/16:0])	LMGP12010253
			CL(1'-[18:0/18:0],3'-[18:1(9Z)/18:0])	LMGP12010272
			CL(1'-[18:0/18:0],3'-[20:0/16:0])	LMGP12010283
			CL(1'-[18:0/20:0],3'-[18:1(9Z)/16:0])	LMGP12010379
			CL(1'-[18:0/20:0],3'-[16:0/20:0])	LMGP12010371
			CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:0])	LMGP12010434
			CL(1'-[18:1(9Z)/16:0],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010450
			CL(1'-[18:1(9Z)/18:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)])	LMGP12010508
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[16:0/18:1(9Z)])	LMGP12010801
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[18:2(9Z,12Z)/18:2(9Z,12Z)])	LMGP12010820
			CL(1'-[20:0/18:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010912
			CL(1'-[20:0/18:0],3'-[18:1(9Z)/16:0])	LMGP12010919
			PIM3(18:1(9Z)/14:0)	LMGP15010116
			CL(1'-[20:0/18:1(9Z)],3'-[18:1(9Z)/18:1(9Z)])	LMGP12010957
			CL(1'-[20:0/18:2(9Z,12Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)])	LMGP12011012
			CL(1'-[20:0/20:0],3'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)])	LMGP12011038
			CL(1'-[20:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/16:0])	LMGP12011075
			PIM1(17:0/18:1(9Z))	LMGP15010013
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)],3'-[20:0/18:1(9Z)])	LMGP12011185
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:0],3'-[16:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12011236
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/18:2(9Z,12Z)])	LMGP12011294
			PIM2(18:0/16:1(9Z))	LMGP15010064
			PIM4(18:0/14:0)	LMGP15010158
			PIM5(19:0/16:1(9Z))	LMGP15010226
			PIM5(19:1(9Z)/16:1(9Z))	LMGP15010232
			PIM5(19:2(9Z,12Z)/16:2(9Z,12Z))	LMGP15010239
			OHODiA-PE	LMGP20020047
			OS-PE	LMGP20020035
			POV-PE	LMGP20020030
			1-(2-methoxy-16Z-tricosenyl)-sn-glycero-3-phosphoethanolamine	LMGP02060026
			OKOOA-PS	LMGP20040029
			PC(O-16:0/4:0)	LMGP01020072
			PC(P-16:0/2:0)	LMGP01030009
			PC(O-16:0/1:0)	LMGP01020028
			PE(26:2(5Z,9Z)/26:2(5Z,9Z))	LMGP02010035
			PE(16:1(5Z)/15:0)	LMGP02010355
			PC(18:0/17:1(9Z))	LMGP01011586
			PC(18:2(9Z,12Z)/22:1(11Z))	LMGP01011637
			PC(18:3(9Z,12Z,15Z)/15:1(9Z))	LMGP01011676
			PC(20:3(8Z,11Z,14Z)/12:0)	LMGP01011866
			PC(20:3(8Z,11Z,14Z)/19:0)	LMGP01011883
			PC(21:0/22:2(13Z,16Z))	LMGP01011978
			PC(22:1(11Z)/18:3(6Z,9Z,12Z))	LMGP01012018
			PC(22:1(11Z)/22:4(7Z,10Z,13Z,16Z))	LMGP01012033
			PC(22:2(13Z,16Z)/12:0)	LMGP01012035
			PC(18:3(6Z,9Z,12Z)/21:0)	LMGP01011665
			PC(O-18:0/19:0)	LMGP01020207
			PC(O-20:0/18:0)	LMGP01020226
			PC(P-16:0/17:0)	LMGP01030027
			PC(P-18:0/15:1(9Z))	LMGP01030051
			PC(P-18:0/16:0)	LMGP01030052
			PC(P-20:0/17:0)	LMGP01030082
			PE(12:0/20:3(8Z,11Z,14Z))	LMGP02010374
			PE(13:0/20:2(11Z,14Z))	LMGP02010397
			PE(15:1(9Z)/20:1(11Z))	LMGP02010494
			PE(16:0/17:2(9Z,12Z))	LMGP02010508
			PC(O-16:0/13:0)	LMGP01020177
			PE(17:1(9Z)/17:0)	LMGP02010569
			PE(17:2(9Z,12Z)/18:0)	LMGP02010601
			PE(18:0/19:1(9Z))	LMGP02010631
			PE(17:1(9Z)/13:0)	LMGP02010562
			PE(20:2(11Z,14Z)/19:1(9Z))	LMGP02010889
			PE(20:4(5Z,8Z,11Z,14Z)/19:1(9Z))	LMGP02010950
			PE(22:2(13Z,16Z)/17:1(9Z))	LMGP02011080
			PE(O-16:0/18:0)	LMGP02020101
			PE(19:1(9Z)/20:0)	LMGP02010812
			PA(13:0/20:1(11Z))	LMGP10010081
			PA(18:3(6Z,9Z,12Z)/17:0)	LMGP10010372
			PE(13:0/21:0)	LMGP02011252
			PA(20:4(5Z,8Z,11Z,14Z)/17:2(9Z,12Z))	LMGP10010627
			PA(20:5(5Z,8Z,11Z,14Z,17Z)/13:0)	LMGP10010648
			PA(O-16:0/16:1(9Z))	LMGP10020008
			PA(O-20:0/18:1(9Z))	LMGP10020053
			PA(O-18:0/16:1(9Z))	LMGP10020074
			PA(O-16:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP10020076
			PA(O-16:0/16:0)	LMGP10020084
			PA(P-16:0/20:2(11Z,14Z))	LMGP10030020
			PI(15:1(9Z)/18:0)	LMGP06010140
			PI(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))	LMGP06010421
			PI(22:2(13Z,16Z)/13:0)	LMGP06010726
			PG(15:1(9Z)/17:0)	LMGP04010169
			PG(15:1(9Z)/18:3(9Z,12Z,15Z))	LMGP04010176
			PG(17:0/12:0)	LMGP04010226
			PG(17:0/17:2(9Z,12Z))	LMGP04010232
			PG(17:0/20:3(8Z,11Z,14Z))	LMGP04010241
			PG(17:1(9Z)/14:0)	LMGP04010250
			PI(16:0/20:5(5Z,8Z,11Z,14Z,17Z))	LMGP06010874
			PG(14:1(9Z)/21:0)	LMGP04010133
			PG(17:2(9Z,12Z)/15:1(9Z))	LMGP04010283
			PG(18:3(9Z,12Z,15Z)/14:0)	LMGP04010399
			PG(17:1(9Z)/22:4(7Z,10Z,13Z,16Z))	LMGP04010276
			PG(19:1(9Z)/22:1(11Z))	LMGP04010507
			PS(17:0/20:1(11Z))	LMGP03010239
			PS(17:1(9Z)/17:0)	LMGP03010256
			PS(17:2(9Z,12Z)/22:0)	LMGP03010303
			PS(18:3(9Z,12Z,15Z)/15:1(9Z))	LMGP03010402
			PS(19:0/18:3(6Z,9Z,12Z))	LMGP03010464
			PS(19:1(9Z)/19:0)	LMGP03010497
			PS(13:0/16:0)	LMGP03010072
			PS(22:1(11Z)/18:3(9Z,12Z,15Z))	LMGP03010740
			PS(O-20:0/15:0)	LMGP03020045
			PS(P-16:0/19:0)	LMGP03030016
			PS(P-20:0/21:0)	LMGP03030081
			PS(20:5(5Z,8Z,11Z,14Z,17Z)/17:2(9Z,12Z))	LMGP03010658
			PS(21:0/20:2(11Z,14Z))	LMGP03010694
			PS(22:0/19:1(9Z))	LMGP03010715
			PS(P-16:0/20:2(11Z,14Z))	LMGP03030020
			PS(P-18:0/18:0)	LMGP03030039
			PS(P-20:0/18:3(6Z,9Z,12Z))	LMGP03030070
			CL(1'-[16:0/18:1(9Z)],3'-[18:1(9Z)/18:0])	LMGP12010092
			CL(1'-[16:0/18:1(9Z)],3'-[20:0/16:0])	LMGP12010103
			CL(1'-[16:0/20:0],3'-[18:0/18:0])	LMGP12010158
			CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/18:0])	LMGP12010242
			CL(1'-[18:0/18:0],3'-[20:0/18:1(9Z)])	LMGP12010285
			CL(1'-[18:0/20:4(5Z,8Z,11Z,14Z)],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)])	LMGP12010436
			CL(1'-[18:1(9Z)/18:0],3'-[20:0/20:0])	LMGP12010503
			CL(1'-[18:1(9Z)/18:1(9Z)],3'-[16:0/20:0])	LMGP12010515
			CL(1'-[18:1(9Z)/18:1(9Z)],3'-[20:0/18:2(9Z,12Z)])	LMGP12010538
			CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:1(9Z)/16:0])	LMGP12010703
			CL(1'-[18:2(9Z,12Z)/20:0],3'-[16:0/18:0])	LMGP12010800
			CL(1'-[20:0/16:0],3'-[16:0/18:1(9Z)])	LMGP12010873
			CL(1'-[20:0/18:0],3'-[20:0/16:0])	LMGP12010931
			CL(1'-[20:0/18:0],3'-[20:0/20:0])	LMGP12010935
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)],3'-[18:1(9Z)/18:0])	LMGP12011208
			PIM4(19:1(9Z)/16:1(9Z))	LMGP15010184
			PKOHA-PI	LMGP20050010
			PC(11:0/20:0)	LMGP01010417
			PC(O-18:0/22:5(4Z,7Z,10Z,13Z,16Z))	LMGP01020107
			PC(O-15:0/2:0)	LMGP01020024
			PE(O-18:0/22:0)	LMGP02020017
			PA(14:0/18:1(9Z))	LMGP10010019
				LMGP02080003
				LMGP01040095
			beta-hydroarchaetidylethanolamine	LMGP02040018
				LMGP04110003
			PE(13:0/0:0)	LMGP02050007
			PA(18:2(9Z,12Z)/0:0)	LMGP10050017
			PG(18:2(9Z,12Z)/0:0)	LMGP04050014
			PC(18:2(9Z,12Z)/17:0)	LMGP01011621
			PC(18:3(6Z,9Z,12Z)/13:0)	LMGP01011641
			PC(18:3(9Z,12Z,15Z)/13:0)	LMGP01011672
			PC(19:1(9Z)/14:0)	LMGP01011758
			PC(19:1(9Z)/18:1(9Z))	LMGP01011768
			PC(17:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP01011550
			PC(17:2(9Z,12Z)/19:1(9Z))	LMGP01011568
			PC(22:4(7Z,10Z,13Z,16Z)/15:1(9Z))	LMGP01012071
			PC(O-18:0/17:2(9Z,12Z))	LMGP01020201
			PC(O-18:0/18:4(6Z,9Z,12Z,15Z))	LMGP01020206
			PC(P-16:0/13:0)	LMGP01030020
			PE(17:2(9Z,12Z)/22:2(13Z,16Z))	LMGP02010618
			PC(20:5(5Z,8Z,11Z,14Z,17Z)/21:0)	LMGP01011950
			PE(12:0/18:2(9Z,12Z))	LMGP02010366
			PE(13:0/18:3(6Z,9Z,12Z))	LMGP02010392
			PE(15:1(9Z)/21:0)	LMGP02010499
			PE(17:0/18:2(9Z,12Z))	LMGP02010546
			PE(17:0/18:3(6Z,9Z,12Z))	LMGP02010547
			PE(17:0/20:2(11Z,14Z))	LMGP02010553
			PE(17:2(9Z,12Z)/17:1(9Z))	LMGP02010600
			PE(17:2(9Z,12Z)/18:3(9Z,12Z,15Z))	LMGP02010605
			PC(P-18:0/18:3(9Z,12Z,15Z))	LMGP01030060
			PE(20:2(11Z,14Z)/13:0)	LMGP02010872
			PE(20:3(8Z,11Z,14Z)/19:1(9Z))	LMGP02010920
			PE(20:5(5Z,8Z,11Z,14Z,17Z)/12:0)	LMGP02010962
			PE(13:0/15:0)	LMGP02011256
			PE(22:0/19:1(9Z))	LMGP02011029
			PE(22:1(11Z)/17:0)	LMGP02011048
			PE(22:1(11Z)/18:4(6Z,9Z,12Z,15Z))	LMGP02011056
			PE(22:0/12:0)	LMGP02011165
			PE(21:0/14:0)	LMGP02011168
			PE(19:0/12:0)	LMGP02011188
			PE(17:0/17:0)	LMGP02011213
			PE(13:0/19:0)	LMGP02011254
			PE(O-20:0/14:0)	LMGP02020063
			PE(O-20:0/17:0)	LMGP02020068
			PE(O-16:0/18:2(9Z,12Z))	LMGP02020100
			PE(22:0/17:1(9Z))	LMGP02011022
			PA(18:3(6Z,9Z,12Z)/17:2(9Z,12Z))	LMGP10010374
			PA(18:3(9Z,12Z,15Z)/17:1(9Z))	LMGP10010403
			PA(19:0/17:0)	LMGP10010457
			PA(20:3(8Z,11Z,14Z)/22:1(11Z))	LMGP10010614
			PA(22:1(11Z)/21:0)	LMGP10010749
			PA(22:2(13Z,16Z)/21:0)	LMGP10010780
			PA(O-20:0/18:2(9Z,12Z))	LMGP10020054
			PA(P-16:0/12:0)	LMGP10030001
			PA(P-16:0/13:0)	LMGP10030002
			PA(P-16:0/16:1(9Z))	LMGP10030008
			PA(P-20:0/18:1(9Z))	LMGP10030068
			PA(14:0/18:0)	LMGP10010930
			PA(O-16:0/18:3(6Z,9Z,12Z))	LMGP10020080
			PA(P-20:0/22:1(11Z))	LMGP10030083
			PI(16:0/14:1(9Z))	LMGP06010161
			PI(18:3(6Z,9Z,12Z)/21:0)	LMGP06010359
			PG(17:0/20:2(11Z,14Z))	LMGP04010240
			PG(17:1(9Z)/19:0)	LMGP04010264
			PG(18:2(9Z,12Z)/15:0)	LMGP04010344
			PI(22:1(11Z)/18:2(9Z,12Z))	LMGP06010707
			PG(17:0/20:1(11Z))	LMGP04010239
			PG(18:3(6Z,9Z,12Z)/20:1(11Z))	LMGP04010386
			PG(18:4(6Z,9Z,12Z,15Z)/14:0)	LMGP04010427
			PS(15:1(9Z)/20:2(11Z,14Z))	LMGP03010182
			PG(21:0/20:1(11Z))	LMGP04010693
			PS(14:1(9Z)/17:1(9Z))	LMGP03010117
			PS(15:1(9Z)/16:1(9Z))	LMGP03010168
			PS(17:0/16:1(9Z))	LMGP03010230
			PS(17:1(9Z)/18:4(6Z,9Z,12Z,15Z))	LMGP03010263
			PS(17:1(9Z)/20:2(11Z,14Z))	LMGP03010268
			PS(17:2(9Z,12Z)/15:1(9Z))	LMGP03010283
			PS(O-16:0/13:0)	LMGP03020002
			PS(19:1(9Z)/17:0)	LMGP03010488
			PS(19:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP03010510
			PS(20:1(11Z)/17:0)	LMGP03010536
			PS(22:0/21:0)	LMGP03010721
			PS(22:0/22:1(11Z))	LMGP03010722
			PS(19:1(9Z)/0:0)	LMGP03050019
			PS(19:0/22:2(13Z,16Z))	LMGP03010477
			PS(O-16:0/22:4(7Z,10Z,13Z,16Z))	LMGP03020017
			PS(O-20:0/18:3(9Z,12Z,15Z))	LMGP03020055
			PS(O-20:0/18:4(6Z,9Z,12Z,15Z))	LMGP03020056
			PS(P-16:0/17:2(9Z,12Z))	LMGP03030011
			PS(P-16:0/18:4(6Z,9Z,12Z,15Z))	LMGP03030015
			PS(P-18:0/22:0)	LMGP03030052
			PS(P-20:0/20:0)	LMGP03030075
			PS(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)	LMGP03050027
			PS(P-20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))	LMGP03030093
			PS(O-18:0/0:0)	LMGP03060002
			CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:0/18:2(9Z,12Z)])	LMGP12010124
			CL(1'-[16:0/18:2(9Z,12Z)],3'-[18:2(9Z,12Z)/18:0])	LMGP12010134
			CL(1'-[16:0/20:0],3'-[16:0/18:1(9Z)])	LMGP12010153
			CL(1'-[16:0/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/16:0])	LMGP12010193
			CL(1'-[18:0/16:0],3'-[18:2(9Z,12Z)/16:0])	LMGP12010241
			CL(1'-[18:0/18:0],3'-[20:0/18:0])	LMGP12010284
			CL(1'-[18:0/18:2(9Z,12Z)],3'-[18:1(9Z)/16:0])	LMGP12010343
			CL(1'-[18:2(9Z,12Z)/18:0],3'-[18:1(9Z)/20:0])	LMGP12010707
			CL(1'-[18:0/20:0],3'-[18:2(9Z,12Z)/16:0])	LMGP12010385
			CL(1'-[18:0/20:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:0])	LMGP12010398
			CL(1'-[18:1(9Z)/20:4(5Z,8Z,11Z,14Z)],3'-[20:0/16:0])	LMGP12010643
			CL(1'-[18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)],3'-[18:0/16:0])	LMGP12010841
			CL(1'-[20:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:1(9Z)])	LMGP12010903
			CL(1'-[20:0/16:0],3'-[20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)])	LMGP12010904
			CL(1'-[20:0/18:0],3'-[18:0/16:0])	LMGP12010913
			CL(1'-[20:0/18:0],3'-[18:2(9Z,12Z)/20:0])	LMGP12010929
			CL(1'-[20:0/18:2(9Z,12Z)],3'-[18:0/20:4(5Z,8Z,11Z,14Z)])	LMGP12010990
			CL(1'-[20:0/20:0],3'-[20:0/18:1(9Z)])	LMGP12011041
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/16:0],3'-[18:0/20:0])	LMGP12011097
			CL(1'-[20:4(5Z,8Z,11Z,14Z)/18:0],3'-[18:2(9Z,12Z)/18:1(9Z)])	LMGP12011143
			PIM2(17:0/16:2(9Z,12Z))	LMGP15010059
			PIM3(19:2(9Z,12Z)/18:1(9Z))	LMGP15010145
			PIM4(19:0/18:0)	LMGP15010180
			LPIM6(19:2(9Z,12Z)/0:0)	LMGP15040048
			OKOHA-PC	LMGP20010031
			OOB-PC	LMGP20010025
			PHOHA-PG	LMGP20060009
			OOV-PE	LMGP20020037
			PC(21:0/0:0)	LMGP01050051
			PC(O-14:0/22:0)	LMGP01020023
			PC(O-18:0/22:5(7Z,10Z,13Z,16Z,19Z))	LMGP01020109
			PC(O-16:0/20:3(8Z,11Z,14Z))	LMGP01020053
			PE(6:0/6:0)	LMGP02010104
			PG(13:0/0:0)	LMGP04050007
			PE-NMe2(18:0/18:0)	LMGP02010317
			PS(20:4(5Z,8Z,11Z,14Z)/0:0)	LMGP03050007
			PC(17:2(9Z,12Z)/20:3(8Z,11Z,14Z))	LMGP01011572
			PC(17:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))	LMGP01011579
			PA(O-18:0/18:0)	LMGP10020089
			PC(17:1(9Z)/18:3(9Z,12Z,15Z))	LMGP01011535
			PC(17:1(9Z)/22:1(11Z))	LMGP01011547
			PC(18:1(9Z)/12:0)	LMGP01011595
			PC(20:3(8Z,11Z,14Z)/17:0)	LMGP01011874
			PC(21:0/18:4(6Z,9Z,12Z,15Z))	LMGP01011967
			PC(18:3(6Z,9Z,12Z)/17:1(9Z))	LMGP01011649
			PC(21:0/18:2(9Z,12Z))	LMGP01011964
			PC(22:1(11Z)/18:0)	LMGP01012015
			PC(22:1(11Z)/20:1(11Z))	LMGP01012024
			PC(O-18:0/22:2(13Z,16Z))	LMGP01020214
			PC(O-20:0/19:0)	LMGP01020232
			PE(15:0/12:0)	LMGP02010452
			PE(17:0/22:2(13Z,16Z))	LMGP02010559
			PE(17:1(9Z)/16:1(9Z))	LMGP02010568
			PE(20:0/19:1(9Z))	LMGP02010834
			PE(20:1(11Z)/21:0)	LMGP02010865
			PE(20:2(11Z,14Z)/22:1(11Z))	LMGP02010898
			PE(P-20:0/17:2(9Z,12Z))	LMGP02030072
			PE(16:1(9Z)/17:2(9Z,12Z))	LMGP02010523
			PE(22:0/21:0)	LMGP02011035
			PE(22:1(11Z)/19:1(9Z))	LMGP02011058
			PE(22:1(11Z)/22:2(13Z,16Z))	LMGP02011068
			PE(22:2(13Z,16Z)/15:1(9Z))	LMGP02011076
			PE(P-18:0/15:1(9Z))	LMGP02030039
			PE(P-20:0/16:1(9Z))	LMGP02030069
			PA(12:0/16:0)	LMGP10010944
			PE(21:0/15:1(9Z))	LMGP02010993
			PE(16:0/17:0)	LMGP02011227
			PE(O-16:0/20:3(8Z,11Z,14Z))	LMGP02020096
			PA(12:0/18:2(9Z,12Z))	LMGP10010051
			PA(18:2(9Z,12Z)/19:1(9Z))	LMGP10010353
			PA(19:1(9Z)/13:0)	LMGP10010479
			PA(19:1(9Z)/16:0)	LMGP10010484
			PA(19:1(9Z)/20:2(11Z,14Z))	LMGP10010499
			PA(20:3(8Z,11Z,14Z)/12:0)	LMGP10010587
			PA(20:3(8Z,11Z,14Z)/17:1(9Z))	LMGP10010596
			PA(15:0/15:0)	LMGP10010978
			PA(17:1(9Z)/21:0)	LMGP10010270
			PA(17:2(9Z,12Z)/19:0)	LMGP10010292
			PA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/17:2(9Z,12Z))	LMGP10010825
			PA(19:0/13:0)	LMGP10010871
			PA(13:0/21:0)	LMGP10010934
			PA(O-16:0/12:0)	LMGP10020002
			PA(O-16:0/21:0)	LMGP10020015
			PA(O-20:0/22:1(11Z))	LMGP10020067
			PA(O-20:0/16:0)	LMGP10020072
			PA(P-16:0/19:1(9Z))	LMGP10030017
